product,topic,post_caption,text,date,country,clean,translated,sentiment,score,keywords
Eucerin night cream,-1,My skin feels tight every night before bed.,Super nourishing!,2024-11-01,UK,super nourishing,super nourishing,5 stars,0.7638786435127258,"[('nourishing', 0.8736), ('super', 0.4603)]"
Eucerin night cream,-1,My skin feels tight every night before bed.,Gave me tiny pimples,2024-11-02,US,gave me tiny pimples,gave me tiny pimples,2 stars,0.30021485686302185,"[('pimples', 0.7077), ('tiny', 0.4674), ('gave', 0.3664)]"
Eucerin night cream,-1,My skin feels tight every night before bed.,Absorbs better than the day cream,2024-11-03,DE,absorbs better than the day cream,absorbs better than the day cream,5 stars,0.6269067525863647,"[('absorbs', 0.6125), ('cream', 0.5271), ('day', 0.3429)]"
Eucerin night cream,-1,My skin feels tight every night before bed.,هل هذا مناسب للبشرة الدهنية؟,2024-11-04,AE,هل هذا مناسب للبشرة الدهنية,Is this suitable for oily skin?,3 stars,0.3702510595321655,"[('oily', 0.605), ('skin', 0.4875), ('suitable', 0.1461)]"
Eucerin night cream,-1,My skin feels tight every night before bed.,Der Geruch ist zu stark,2024-11-05,DE,der geruch ist zu stark,the smell is too strong,2 stars,0.4825289845466614,"[('smell', 0.6234), ('strong', 0.3263)]"
Eucerin micellar water,-1,I need something gentle that removes makeup fast.,No irrita mis ojos!,2024-09-01,ES,no irrita mis ojos,it doesn't irritate my eyes,3 stars,0.3550071716308594,"[('irritate', 0.6227), ('eyes', 0.3887), ('doesn', 0.2483)]"
Eucerin micellar water,-1,I need something gentle that removes makeup fast.,Didn’t remove waterproof mascara,2024-09-02,US,didn t remove waterproof mascara,didn t remove waterproof mascara,1 star,0.4577210545539856,"[('mascara', 0.6403), ('waterproof', 0.4829), ('remove', 0.3429)]"
Eucerin micellar water,-1,I need something gentle that removes makeup fast.,Perfect voor dagelijks gebruik,2024-09-03,NL,perfect voor dagelijks gebruik,perfect for everyday use,5 stars,0.7435175180435181,"[('everyday', 0.523), ('use', 0.437), ('perfect', 0.3057)]"
Eucerin micellar water,-1,I need something gentle that removes makeup fast.,Bıraktığı yağlı his hoşuma gitmedi,2024-09-04,TR,bıraktığı yağlı his hoşuma gitmedi,I didn't like the oily feeling it left.,2 stars,0.5356336236000061,"[('oily', 0.5669), ('feeling', 0.34), ('left', 0.2332)]"
Eucerin micellar water,-1,I need something gentle that removes makeup fast.,C'est sans parfum ?,2024-09-05,FR,c est sans parfum,it's fragrance free,4 stars,0.3155307471752167,"[('fragrance', 0.7998), ('free', 0.2861)]"
Eucerin hand cream,-1,My hands crack every winter.,Gerettet meine Hände!,2024-12-01,DE,gerettet meine hände,saved my hands,5 stars,0.5957087278366089,"[('saved', 0.6268), ('hands', 0.5718)]"
Eucerin hand cream,-1,My hands crack every winter.,Too greasy for daytime,2024-12-02,US,too greasy for daytime,too greasy for daytime,2 stars,0.49837571382522583,"[('greasy', 0.6907), ('daytime', 0.6237)]"
Eucerin hand cream,-1,My hands crack every winter.,بویش خوبه ولی چربه,2024-12-03,IR,بویش خوبه ولی چربه,It smells good but greasy,3 stars,0.5253398418426514,"[('greasy', 0.6844), ('smells', 0.4888), ('good', 0.192)]"
Eucerin hand cream,-1,My hands crack every winter.,Non ha aiutato il mio eczema,2024-12-04,IT,non ha aiutato il mio eczema,It didn't help my eczema,2 stars,0.4805496335029602,"[('eczema', 0.7412), ('didn', 0.1601), ('help', 0.0886)]"
Eucerin hand cream,-1,My hands crack every winter.,Absorbs fast,2024-12-05,UK,absorbs fast,absorbs fast,5 stars,0.3009529709815979,"[('absorbs', 0.7952), ('fast', 0.535)]"
Eucerin calming body wash,-1,My skin feels itchy after every shower.,Finally something that doesn’t irritate my arms!,2024-07-21,CA,finally something that doesn t irritate my arms,finally something that doesn t irritate my arms,5 stars,0.636223316192627,"[('irritate', 0.4952), ('arms', 0.4843), ('finally', 0.2878)]"
Eucerin calming body wash,-1,My skin feels itchy after every shower.,Çok az köpürüyor,2024-07-22,TR,çok az köpürüyor,It foams very little,2 stars,0.40162357687950134,"[('foams', 0.618), ('little', 0.2416)]"
Eucerin calming body wash,-1,My skin feels itchy after every shower.,Great for sensitive skin,2024-07-23,DE,great for sensitive skin,great for sensitive skin,5 stars,0.6019037365913391,"[('skin', 0.5636), ('sensitive', 0.5296), ('great', 0.1488)]"
Eucerin calming body wash,-1,My skin feels itchy after every shower.,Me dejó la piel tirante,2024-07-24,ES,me dejó la piel tirante,it left my skin tight,2 stars,0.464822918176651,"[('skin', 0.4923), ('tight', 0.4026), ('left', 0.1755)]"
Eucerin calming body wash,-1,My skin feels itchy after every shower.,آیا برای بچه‌ها هم مناسبه؟,2024-07-25,IR,آیا برای بچه ها هم مناسبه,Is it suitable for children?,3 stars,0.4318685233592987,"[('children', 0.5681), ('suitable', 0.3233)]"
